Ulaa	Ulan
dedjler	dediler
gjttjm	gittim
sırfı	sırf
dje	diye
djer	diğer
wodafone	Vodafone
geçjş	geçiş
dedjlr	dediler
türksel	Turkcell
espirilerimden	esprilerimden
ney	ne
yeaa	yaa
türksel	Turkcell
türksell	Turkcell
görünteleyin	görüntüleyin
gelmişin	gelmişsin
sevıyoo	seviyor
almalıyıım	almalıyım
kar	koyayım
ünv	Üniversitesi
msg	mesaj
atio	atıyor
trkcll	Turkcell
türksel	Turkcell
inş	inşallah
seviyomus	seviyormuş
Knt	Kontör
dinletiim	dinleteyim
felan	falan
yapiom	yapıyorum
kampanlayı	kampanyayı
ipone	iphone
telefeon	telefon
hattı	tövbe
heralde	herhalde
değiştiriceğimi	değiştireceğimi
yaa	ya
değiştiriceğimi	değiştireceğimi
yaa	ya
kullaniyomus	kullanıyormuş
gonderiyorr	gönderiyor
banaa	bana
bitmesibe	bitmesine
turksel	Turkcell
yaa	ya
yeaa	ya
teli	telefonu
yaa	ya
sakil	şekil
kazanıyormuşun	kazanıyormuşsun
tişikkirlir	teşekkürler
Papucumun	Pabucumun
atmıyosa	atmıyorsa
gnc	genç
artııkk	artık
ayy	ay
ins	inşallah
gecıyore	geçiyorum
yanlızım	yalnızım
acabaa	acaba
yaw	yahu
icinn	için
Bilader	Birader
ye	tlye
telefonuıma	telefonuma
turkc	Türkçe
yaa	ya
dolandırılıcığına	dolandırıcılığına
Aradgm	Aradığım
atlıyoo	atlıyor
bnım	benim
cekmyoo	çekmiyor
konusak	konuşalım
kampayası	kampanyası
geliyoo	geliyor
allahm	Allahım
bee	be
İllaha	İllahi
sikiyim	sikeyim
yaw	yahu
veriyim	vereyim
arkadşlarımm	arkadşlarım
Turkcel	Turkcell
felan	falan
turkcel	Turkcell
Aveo	Avea
arkideslerim	arkadaşlarım
turkcel	Turkcell
bau	Banu
tskrlr	teşekkürler
ıpneler	ibneler
girio	giriyor
burdaki	Buradaki
bildireb	bildirebilirler
cınım	canım
ee	e
abicim	abiciğim
çook	çok
Vodofone	Vodafone
tapmış	yapmış
Vodofone	Vodafone
vodofonlar	Vodafonlar
konusuyrm	konuşuyorum
editorude	editörü
arkadaslar	arkadalar
telim	telefonum
trkcll	Turkcell
turkcel	Turkcell
sanaa	sana
hatt	hat
arıyım	arıyayım
dksi	dakikası
tamamiyle	tamamıyla
neneni	nineni
arkaşını	arkadaşını
Aay	Ay
bare	bari
konturum	kontörüm
yokk	yok
Ejdadını	Ecdadını
Ayy	Ay
ohh	oh
thanks	teşekkürler
tskler	teşekkürler
Hazırkart	Hazır
turkcel	Turkcell
kullaniyorm	kullanıyorum
turkcel	Turkcell
bende	ben
yidin	yedin
sagool	sağol
haraket	hareket
bayiisi	bayisi
koyim	koyayım
Arıyosa	Arıyorsa
Diyorki	Diyor
yavv	ya
ôzel	özel
tebriks	tebrikler
acaip	acayip
bu	bir
yaa	ya
baana	bana
yaa	ya
yaa	ya
Bendeniz	Bendniz
tcell	Turkcell
türksel	Türkcell
yanlışıkla	yanlışlıkla
Vodafon	Vodafone
verinin	verenin
diyin	deyin
saolsn	sağolsun
di	değil
atmistirr	atmıştır
yaa	ya
baya	bayağı
Fikrikimizin	Fikrimizin
sevmeleri	sevmelere
Ohaa	Oha
saolsun	sağolsun
eyv	eyvallah
türksel	Turkcell
yediremedgi	yediremediği
çekim	gücü
koyim	koyayım
atcagı	atacağı
yapıyım	yapayım
sürdürdüğ	sürdürdüğü
yaparmiss	yaparmış
yerimm	yerim
kalicaktim	kalacaktım
Turkcel	Turkcell
alıyorumm	alıyorum
turkcel	Turkcell
yook	yok
bedavaa	bedava
turkcellilerle	Turkcelllilerle
musterii	müşteri
hizmetleriindekii	hizmetlerindeki
insanlarr	insanlar
kadarr	kadar
ictenn	içten
bayiliyorumm	bayılıyorum
maşşallah	maşallah
CaAnımM	Canım
CaAnımM	Canım
türksel	Turkcell
dkye	dakikaya
ınş	inşallah
Çook	Çok
Şekeer	Şeker
sesız	sensiz
turkcel	Turkcell
saklandıı	saklandı
bo	bol
twit	tweet
turkcel	Turkcell
keskee	keşke
turksel	Turkcell
gibi	ben
benle	benimle
yüklektim	yüklettim
aldıı	aldı
saolsun	sağolsun
herşeyi	her
naptı	ne
evlenmiştikk	evlenmiştik
arıyamıyorum	arayamıyorum
soleseniz	söyleseniz
kimsem	ya
Turkcel	Turkcell
cekiyomus	çekiyormuş
msg	mesaj
kamyalarla	kampanyalarla
türkcel	Turkcell
yaserken	yaşarken
ablsina	ablasına
raad	rahat
kankim	kankam
de	da
felan	falan
ays	ay
romantikim	romantiğim
Smdi	şimdi
turkcel	Turkcell
turkcel	Turkcell
iyiymiss	iyiymiş
mucadale	mücadele
faydalanıyım	faydalanayım
kankiler	kankalar
demıorm	demiyorum
çekim	gücü
Yav	Ya
satiyim	satayım
turkcell	Turkcelllime
kapıyada	kapıya
ağırıyor	ağrıyor
yazdılarımdan	yazdıklarımdan
Turkcel	Turkcell
engelleyemeceyek	engelleyemeyecek
full	ful
reyiz	reis
diim	diyeyim
diim	diyeyim
ttnet	TTnet
çaıştım	çalıştım
hatlaı	hatları
verdii	verdi
heralde	herhalde
geciyorm	geçiyorum
yaa	ya
türksell	Turkcell
Ahh	Ah
Ahh	Ah
yazağım	yazacağım
ariyip	arayıp
yvsk	yavşak
sy	şey
yia	ya
veriyosa	veriyorsa
somurdunn	sömürdün
vallaa	vallahi
ediyoruzz	ediyoruz
vallaha	vallahi
diğerileri	diğerleri
turkcel	Turkcell
gelmiyoo	gelmiyor
tskler	tEŞEkKÜRler
yokk	yok
Turkcel	Turkcell
süpriz	sürpriz
artırdım	arttırdım
türksel	Turkcell
yaa	ya
şekerr	şeker
soylemiyosn	söylemiyorsun
bıseye	bir
pakedim	paketim
kontur	kontör
türksel	Turkcell
bebeem	bebeğim
şindi	şimdi
turkcel	Turkcell
zengıın	zengin
olsaa	olsa
saolsun	sağolsun
saolsun	sağolsun
hatiimi	hattımı
kapatiorum	kapatıyorum
türksel	Türkcell
vodafon	Vodafone
kullanann	kullanan
turkcel	Turkcell
türksel	Turkcell
bağışlıyyor	bağışlıyor
aşkısı	aşkı
attıı	attı
opr	operatörü
insanlarida	insanları
arkdslr	arkadaşlar
kontorum	kontürüm
yazabiluruun	yazabiliyorum
türksel	Turkcell
kankim	kankam
yanyam	yamyam
off	of
öleceğimm	öleceğim
bakiyosa	bakıyorsa
vınnlasın	vınlasın
türksel	Turkcell
iphonee	iphone
atıcaksın	atacaksın
Tatlış	Tatlı
Chocuk	çocuk
Türksel	Turkcell
Wodafone	Vodafone
anca	ancak
hemde	hem
hoop	hemen
muzlk	müzik
ka	kadar
ka	kadar
senii	seni
alincada	alınca
oluorum	oluyorum
turkcel	Turkcell
ıyıcee	iyice
azıttıı	azıttı
turkcel	Turkcell
heralde	herhalde
tel	telefon
kontur	kontör
kontur	kontör
diyee	diye
Turkcel	Turkcell
tl	Türk
mı	Liramı
kafsina	kafasına
ilgi	ilgili
ilgi	ilgili
tripmi	aldatıyor
atıosn	aldatıyor
hanii	hani
işiyim	işeyeyim
yaww	ya
hallemedi	halledemedi
telini	telefonunu
off	of
skildim	sıkıldım
turkcel	Turkcell
hisediyorum	hissediyorum
mi	tlmi
işinii	işini
turksel	Turkcell
wınn	vınn
oynuyor	atamıyorum
yapmiss	yapmış
zami	zammı
vaad	vaat
trkcll	Turkcell
mutluluğuğu	mutluluğu
bılmıom	bilmiyorum
sinamada	sinemada
saolsun	sağolsun
yapicagin	yapacağın
Nekadar	Ne
knk	kanka
pees	pes
ye	tlye
tukuriyim	tüküreyim
cekiyomus	çekiyormuş
ulasamicaksiniz	ulaşamayacaksınız
He	Hey
atmaa	atma
heyecanlaniyoruum	heyecanlanıyorum
aa	amına
yaahu	yahu
baboş	baba
kapıyada	kapıya
wodafone	Vodafone
int	internet
paaketin	paketinin
smd	şimdi
kIraker	kraker
Reyiz	Reis
tlf	telefon
türksel	Turkcell
akanzii	akıyor
reklamıba	reklamına
bayıldımm	bayıldım
taa	ta
turksel	Turkcell
ohaa	oha
kadan	kadar
böle	böyle
türksel	Turkcell
ım	internete
grdgm	gördüğüm
tel	telefon
sızdn	sizden
Gangam	Gangnam
yollan	yollarsın
Gamgam	Gangnam
Turkcell	style
dan	style
sonra	style
ham	style
turkcel	Turkcell
atanımm	atanım
yokk	yok
ahh	ah
bırakmaymışş	bırakmayaymış
hayırdırr	hayırdır
türksel	Turkcell
Hemde	Hem
hayirdirr	hayırdır
Gangam	Gangnam
off	of
tiviti	tweeti
wıdeo	video
gondermıss	göndermiş
gûzel	güzel
ocakda	ocakta
atiyomusum	atıyormuşum
çekim	gücü
askitoos	aşkım
inaamaayacagin	inanamayacağın
geciyim	geçeyim
türksel	Turkcell
için	ilgili
başka	benim
vadofone	Vodafone
pakedimle	paketimle
taksidi	taksidini
seysi	şeyi
tebrikleer	tebrikler
kapatiodun	kapatıyordun
nise	neyse
hobpa	hoppa
görcezz	göreceğiz
Turkcel	Turkcell
ossun	olsun
turkcel	Turkcell
azına	ağzına
bende	ben
turcell	Turkcell
turkcel	Turkcell
trkcll	Turkcell
kii	ki
piyasa	piyasaya
koordinatlaroi	koordinatları
yaptirdm	yaptırdım
istiyeyim	isteyeyim
turkcel	Turkcell
korsa	koyarsa
ney	ne
yükliyim	yükleyeyim
sildrmiyim	sildirmeyeyim
taahhütü	Taahhüdü
dio	diyor
Ulen	Ulan
yapcn	yapacaksın
heralde	herhalde
turkcel	Turkcell
vodafon	Vodafone
laa	la
takilmism	takılmışım
bnde	ben
turkcel	Turkcell
ediceğim	edeceğim
türksel	Türkcell
Arkdslr	Arkadaşlar
heralde	herhalde
styl	style
styl	style
elektirik	elektrik
ipneyim	ibneyim
kitlemektan	kilitlemekten
turksel	Turkcell
sitayl	style
pakedı	paketi
Ónemli	önemli
yiyoo	yiyor
turksel	Turkcell
cekmio	çekmiyor
tivit	tweet
di	değil
di	değil
hatırladımm	hatırladım
yıllaar	yıllar
dakka	dakikaya
turkcel	Turkcell
yedınn	yedin
askm	aşkım
üsdün	üzdün
inş	inşallah
atamıyoom	atamıyorum
he	hey
dksnda	dakikasında
yùkledim	yükledim
turksel	Turkcell
te	tüh
kontorler	kontürler
düüşünceli	düşünceli
turkcel	Turkcell
mobile	mobil
çekio	çekiyor
trkcll	Turkcell
ussura	osura
ussura	osura
uyuyodm	uyuyordum
uyndirdi	uyandırdı
çôzdük	çözdük
ustumuze	üzerimize
bitmesinden	kaldırmış
kaldırmışş	kaldırmış
yaa	ya
sinirsz	sınırsız
gelio	geliyor
oluym	olayım
diosn	diyorsun
sinirsz	sınırsız
kullanıyosan	kullanıyorsan
alıyosnuz	alıyorsunuz
doğru	de
kotu	ödemiş
msaji	mesajı
Ayipp	Ayıp
anca	ancak
yükliyim	yükleyeyim
sildrmiyim	sildirmeyeyim
diyip	deyip
bos	boşu
alamicaksin	alamayacaksın
kontür	kontör
kankey	kanka
malesef	mâlesef
açılıyoor	açılıyor
paketinii	paketini
tskler	teşekkürler
tskler	teşekkürler
Turksell	Turkcell
yuze	yüzde
yaptırcamm	yaptıracağım
paketii	paketi
değilimm	değilim
off	of
k	karar
Off	Of
int	internet
tel	telefon
bakk	bak
bıtmstır	bitmiştir
kazıkcıı	kazıkçı
diceğinize	diyeceğinize
yollamışın	yollamışsın
hee	hey
mobile	mobil
aramıyr	aramıyorum
knsyrm	konuşuyorum
yeaa	ya
kapıyada	kapıya
tanıyalıma	tanıyalım
müşt	müşteri
gelırdıı	gelirdi
kapıyada	kapıya
relaxla	rahatla
felan	falan
stayla	style
çekersee	çekerse
şekerr	şeker
almışş	almış
sikem	sikeyim
yaptııgım	yaptığım
Turkcel	Turkcell
heycanlandirdigin	heyecanlandırdığın
karşime	kardeşime
bırakmaa	bırakma
türksel	Türkcell
türksel	Turkcell
turkcel	Turkcell
sızı	seviyorum
Yapıcağınız	Yapacağınız
turkcel	Turkcell
bekletmemişdi	bekletmemişti
pestiji	prestiji
arasınd	arasından
heralde	herhalde
itaberen	itibaren
yaa	ya
dolayi	dolay
aşşalık	aşağılık
dötler	götler
müzikden	müzikten
saolsun	sağolsun
tanede	tane
türksel	Türkcell
dev	devam
Turkcel	Turkcell
heycanlandirdigin	heyecanlandırdığın
kontür	kontör
sizeleri	sizleri
show	şov
telimi	telefonumu
yaa	ya
trsel	Turkcell
turksel	Turkcell
sokucagi	sokacağı
işlermler	işlemler
diyerlerini	diğerlerini
türksel	Türkcell
türksel	Turkcell
tskkrlr	teşekkürler
trkcll	Turkcell
optm	öptüm
bitiricegimin	bitireceğimin
yukluorm	yüklüyorum
watsap	whatsapp
mişim	imişim
mobile	mobil
mii	mi
mii	mı
heralde	herhalde
Yaa	Ya
artıkk	artık
yaa	ya
konuşmuyorumm	konuşmuyorum
Göstericemm	Göstereceğim
gereksiminde	gereksiniminde
veriorm	veriyorum
iphone	iPhone
kafasindasiniiz	kafasındasınız
türksel	Turkcell
ışı	ışığı
heralde	herhalde
inde	günde
Bee	Be
turkcel	Turkcell
styla	style
styla	style
prezerfatif	prezervatif
styla	style
yapıcağını	yapacağını
di	değil
yaa	ya
gencaverim	cengaverim
türksel	Turkcell
heralde	herhalde
bekliorsun	bekliyorsun
ahh	ah
Tim	Team
tim	team
dayanmadi	dayanamadı
turkcel	Turkcell
lik	tllik
suprizler	sürprizler
isn	işin
glb	galiba
oldugn	olduğun
kısıdn	kişiden
sılenlr	silenler
etmyosunz	etmiyorsunuz
yaa	ya
dahal	daha
piza	pizza
aklana	aklına
yerimm	yerim
anca	ancak
zorlaaniyoruz	zorlanıyoruz
Turkcel	Turkcell
sarıkutu	sarı
turkcel	Turkcell
atca	atacağı
atmıyınca	atmayınca
verdii	verdi
turksel	Turkcell
göndrrmedi	göndermedi
yaa	ya
tişikkirlir	teşekkürler
tirkcill	Turkcell
lanat	lanet
ossun	olsun
hayirdirr	hayırdır
int	internet
madurum	mağdurum
yaptıı	yaptı
türksel	Türkcell
daa	da
Eveet	Evet
meraba	merhaba
kankim	kankam
turkcel	Turkcell
ederdii	ederdi
gidiyoomm	gidiyorum
turkcel	Turkcell
tivitimizi	tweetimizi
Hazırt	Hazır
yaa	ya
ederimm	ederim
gösteriyim	göstereyim
yükliyim	yükleyeyim
pakedi	paketi
benii	beni
korkuyorumm	korkuyorum
geldiğin	geldiğinde
ayn	ay
yha	ya
turkcll	Turkcell
yavsyrsn	yavşıyorsun
ynı	yani
bee	be
nse	neyse
glb	galiba
full	ful
cekiodu	çekiyordu
full	ful
cekiodu	çekiyordu
evleniceğim	evleneceğim
trkcll	Turkcell
dibinee	dibine
uff	uf
yav	ya
kazıklyn	kazıklıyorsun
caktrmadan	çaktırmadan
çekiyn	çekiyorsun
hee	he
kullanma	kullanmam
işş	iş
gangam	Gangnam
styl	style
styl	style
inş	inşallah
zararlarıı	zararları
stayla	style
styla	style
yapicakti	yapacaktı
yaa	ya
alla	Allah
alla	allah
turkcel	Turkcell
bılee	bile
tlfnsuuz	telefonsuz
gecırdıkk	geçirdik
felan	falan
arada	arda
turkcel	Turkcell
türksel	Turkcell
Türksel	Turkcell
edemedimm	edemedim
holleey	oley
yanlızım	yalnızım
heralde	herhalde
pakedi	paketi
Türksel	Turkcell
seviyore	seviyorum
kulübümüz	kulübümüzün
turkcel	Turkcell
turkcel	Turkcell
Zıynıyet	Zihniyet
üceretli	ücretli
mına	amına
kodumun	koyduğumun
etkilimiş	etkilemiş
turkcel	Turkcell
türksel	Turkcell
Türksel	Turkcell
bayadır	bayağıdır
kazıkları	kazıklar
ilerken	ilerlerken
yannız	yalnız
heryöneydi	her
yirimm	yerim
aydınlıkdı	aydınlıktı
çıkdığmızda	çıktığımızda
ironii	ironi
mesajısiz	mesajsız
yaa	ya
miss	mis
türksel	Türkcell
atıor	atıyor
dikkatin	dikkat
Yaa	Ya
gnderilmistir	gönderilmiştir
msjindan	mesajından
smsim	smsimi
görim	göreyim
anlaticaktim	anlatacaktım
bilee	bile
bişeyi	birşeyi
tm	tamam
tm	tamam
atıyım	atayım
mesajlaşıyım	mesajlaşayım
kontorum	kontürüm
turkcel	Turkcell
canımm	canım
yaa	ya
geçirmiiş	geçirmiş
buu	bu
kattiyen	katiyen
Türksel	Turkcell
bfelan	falan
diyerekten	diyerek
bide	birde
kôtû	kötü
bise	birşey
felan	falan
turkcel	Turkcell
tesekkuler	teşekkürler
paylasincaa	paylaşınca
guzeell	güzel
sevdiim	sevdim
vermişş	vermiş
kii	ki
yabtı	yaptı
biley	bile
piçakladım	bıçakladım
GncTurkcell	GençTurkcell
dusunmuo	düşünmüyor
Türksel	Türkcell
Hııh	Hıh
allahaşkına	Allah
mesglsun	meşgulsün
aksatmazz	aksatmaz
heralde	herhalde
laan	ulan
sevdşm	sevdim
súre	süre
turkcel	Turkcell
atıyoo	atıyor
türkcel	Turkcell
sevildimi	sevildiğimi
herkeze	herkese
geçiceğine	geçeceğine
diğil	değil
şeysi	şeyi
çalışanlarını	çalışanların
bildgn	bildiğin
bağyan	bayan
izleyim	izleyeyim
Vee	Ve
Türksel	Turkcell
bebeye	bebeğe
herkezi	herkesi
bimcel	Bimcell
turkcel	Turkcell
saolsun	sağolsun
sadace	sadece
kapıyada	kapıya
kapıyada	kapıya
uleynn	ulan
soruo	soruyor
trkcell	Turkcell
kontür	kontör
Off	Of
kandırıyoo	kandırıyor
çağırıyodur	çağırıyordur
bayiide	bayiinde
seviyim	seveyim
baktgmda	baktığımda
koduğum	koyduğum
styla	style
çlkar	çıkar
gangam	Gangnam
stayl	style
kullanıosun	kullanıyorsun
tarışmasız	tartışmasız
turkcel	Turkcell
anca	ancak
yha	ya
Saten	zaten
türksel	Turkcell
Şikayetlerimide	Şikayetlerimi
raad	rahat
raad	rahat
trkcll	Turkcell
karısıyoo	karışıyor
senle	seninle
türksel	Turkcell
zamı	zammı
paketlni	paketini
vedim	verdim
sınemedakı	sinemadaki
turkcel	Turkcell
vınn	vın
kardisler	kardeşler
utanirm	utanırım
Turkcell	Turkcellli
sma	sms
sakonlesmiyor	sakinleşmiyor
sictimin	sıçtığımın
tassak	taşak
patlasınca	paylaşınca
coktu	yoktu
ariyamiyor	arayamıyor
msjnlarndan	mesajlarından
enaji	enayi
katılcamm	katılacağım
whatsapp	WhatsApp
anassını	anasını
ucretlendirmesindn	ücretlendirmesinden
paketemi	paketimi
saatde	saatte
türksel	Turkcell
ha	bedava
gelmiyim	gelmeyeyim
kontur	kontör
kesiiliyor	kesiliyor
anlaam	anlam
heralde	herhalde
palyançolar	palyaçolar
doğrudurr	doğrudur
trkcll	Turkcell
calsan	çalışan
ole	öyle
meğersem	meğerse
değilmişssin	değilmişsin
kontoru	kontürü
yukledikdensonra	yükledikten
hoop	hop
turkcel	Turkcell
felan	falan
ebevenylerinin	ebeveynlerinin
show	şov
gangam	Gangnam
turkcel	Turkcell
insanllarla	insanlarla
bull	bul
sevgilicağızım	sevgilim
diğeride	diğeri
türksell	Türkcell
turksel	Turkcell
gidek	gidelim
he	hey
turksel	Turkcell
dgununde	düğününde
gcysn	geçiyorsun
glb	galiba
hımına	amına
koyım	koyayım
bakıyoo	bakıyor
bakıyoo	bakıyor
trkcll	Turkcell
yemıyelım	yemeyelim
off	of
ettirdigm	ettirdiğim
türkcel	Türkcell
stresse	strese
yollim	yollayayım
daa	da
bide	birde
sanırın	sanırım
ayıranayıp	ayıramayıp
bide	birde
türksel	Turkcell
turkcel	Turkcell
dir	idir
koyım	koyayım
ağzıms	ağzıma
koyım	koyayım
edio	ediyor
varya	var
telelerim	tllerim
yanii	yani
Turkcel	Turkcell
yaa	ya
kai	kadın
yaw	yahu
gelsinn	gelsin
yetmiyomus	yetmiyormuş
alla	Allah
hrazı	razı
kontür	kontör
gnçtrkcll	Gençturkcell
vecmem	geçmem
kontorumu	kontürümü
srfszsn	şerefsizsin
turkcel	Turkcell
Turkcel	Turkcell
hoşnutum	hoşnut
Bugün	Bugünki
stylee	style
bizii	bizi
off	of
onda	ondan
bişeylerin	birşeylerin
heralde	herhalde
soyleyezeem	söyleyeceğim
tanıyıcağını	tanıyacağını
hata	hatta
güzeell	güzel
kontôr	kontör
tahautleri	taahhütleri
bittginde	bittiğinde
izlemmek	izlemek
kontor	kontür
töbest	tövbe
koyim	koyayım
indirimm	indirim
bilmiyoo	bilmiyorum
coğ	çok
kullanıcaksan	kullanacaksan
sgl	sağol
yha	ya
almiim	almayayım
halla	hala
baya	bayağı
baya	bayağı
filanlar	filan
deydi	değdi
tcell	Turkcell
sikiyim	sikeyim
bee	be
turkcel	Turkcell
yeer	yer
stayla	style
stayle	style
Ohaa	Oha
stylee	style
Döşiyelim	Döşeyelim
vodafona	Vodafone
degıll	değil
heralde	herhalde
oparator	operatör
gelicekken	gelecekken
etmesiin	etmesin
ayrılldım	ayrıldım
Ulaşamassanız	Ulaşamazsanız
babasıyla	ben
ben	mesaj
taahhütum	taahhüdüm
ula	ulan
tivitır	Twitter
anca	ancak
turkcel	Turkcell
olsunn	olsun
kontur	kontör
yollarkeen	yollarken
diyoo	diyor
Gelde	Gel
turkcel	Turkcell
Dileriim	Dilerim
yildaa	yılda
biir	bir
tanirsiin	tanırsın
tatlislari	tatlıları
yeriim	yerim
lanett	lanet
msg	mesaj
tovbee	tövbe
yanlız	yalnız
uyuyim	uyuyayım
mesıç	mesaj
koleksiyonumlan	koleksiyonumla
yav	yahu
Ilskmz	ilişkimiz
dgl	değil
alıyım	alayım
hemde	hem
tivit	tweet
yoh	yok
turkcel	Turkcell
evlenmiştiik	evlenmiştik
elektirik	elektrik
efedim	efendim
Turkceel	Turkcell
rerklam	reklam
Vodafon	Vodafone
canımlaar	canımlar
tvlerde	televizyonlarda
turkcel	Turkcell
pakeyi	paketi
kesiolar	kesiyorlar
twetter	Twitter
kontorlerinden	kontürlerinden
başlamsindan	başlamasından
yenil	yeni
satayaım	satayım
bebeğimss	bebeğim
tassak	taşak
yaa	ya
bea	be
baya	bayağı
ücretlii	ücretli
yıl	olsun
süprizi	sürprizi
trilyarlık	trilyonluk
saftiriksin	safsın
turkcel	Turkcell
türksel	Turkcell
Turksel	Turkcell
daa	daha
Angara	Ankara
tşkler	teşekkürler
doğurusu	doğrusu
olsaa	olsa
yaw	yahu
deyzemin	teyzemin
Thx	teşekkürler
odemlerinin	ödemelerinin
turkcel	Turkcell
malmısın	mal
programinlarinda	programlarında
geçirceek	geçirecek
orusbu	orospu
turkcel	Turkcell
heralde	herhalde
Vodofone	Vodafone
Araında	Arasında
bitirmeyeydi	bitirmeseydi
geçdim	geçtim
vodofone	Vodafone
gıyamam	kıyamam
kùfúr	küfür
sex	seks
Twitterla	Twitter
falann	falan
aglicaam	ağlayacağım
bnı	beni
ıntrnt	internet
bttı	bitti
gdıo	gidiyor
ediyim	ediyorum
varsinizz	varsınız
tasiniyim	taşınayım
ödüyosam	ödüyorsam
düsnceli	düşünceli
dşünecgmi	düşüneceğimi
sesim	sesimden
değill	değil
Turkcel	Turkcell
talima	talimatı
hığammısına	amına
türksel	Turkcell
yaa	ya
haa	ha
yanlız	yalnız
türksel	Turkcell
bitersee	biterse
benn	ben
biktiim	bıktım
trkcll	Turkcell
int	internet
aldıgı	bizden
ciidden	cidden
ihtiyacımıız	ihtiyacımız
notu	ben
şaka	ben
tatlı	ben
dıosa	diyorsa
yapamassın	yapamazsın
aralar	ararlar
Turkcel	Turkcell
tsycgm	taşıyacağım
ibnesinn	ibnesin
ohh	oh
direk	direkt
Teleefonumun	Telefonumun
vemriş	vermiş
oaly	olay
kullanıcaksan	kullanacaksan
sgl	sağol
yha	ya
almiim	almışım
ucretsz	ücretsiz
twttrımız	Twitterımız
btmsdr	bitmiştir
tanimazz	tanımaz
hayarümden	hayalimden
ayy	ay
kadasi	kafası
varda	var
hayırr	hayır
lütfeen	lütfen
aauuvv	aa
kalitesini	kalitesi
bitiyosa	bitiyorsa
bitiyoo	bitiyor
faceye	Facebook
goriyim	göreyim
hanii	hani
atmıış	atmış
türksel	Türkcell
ayvan	hayvan
Eyw	Eyvallah
almıyan	almayan
dersse	derse
Full	Ful
ohoo	oho
cekmio	çekmiyor
yanlız	yalnız
klubu	kulübü
çözemion	çözemiyorsun
Turkcel	Turkcell
kontür	kontör
baygeldi	baygınlık
vercegim	vereceğim
bekliyoo	bekliyor
atamicamı	atmayacağımı
Afferin	Aferin
gaydı	kaydı
üyeleleri	üyeleri
yaticakmis	yatacakmış
nie	niye
yaa	ya
Sertap	Sertab
Olsunn	Olsun
Güzell	Güzel
seviyim	seveyim
takılıı	takılı
oluumm	oğlum
yaptirtcaklardi	yaptıracaklardı
turkcel	Turkcell
vezgeçmemiş	vazgeçmemiş
Tlf	Telefon
turkcelliye	Turkcellliye
türksel	Türkcell
Turkcel	Turkcell
calisio	çalışıyor
sadace	sadece
kapıyada	kapıya
iin	için
satim	satayım
kotası	de
dolsun	de
kontür	kontör
Olsunn	Olsun
yükletiğim	yüklettiğim
Tur	Turkcell
vadafone	Vodafone
heralde	herhalde
Turkcel	Turkcell
yaw	yahu
tskler	teşekkürler
yemekden	yemekten
faturada	içinde
rakkamlar	içinde
geçiyore	geçiyorum
mesajlaşak	mesajlaşalım
panpalar	pampalar
heehe	hehe
sadace	sadece
kapıyada	kapıya
sadace	sadece
kapıyada	kapıya
çekiyormuşssun	çekiyormuşsun
türksel	Türkcell
kapımızada	kapımıza
ediosun	ediyorsun
hemenn	hemen
yapicaktim	yapacaktım
yaa	ya
laan	lan
int	internet
int	internet
türksel	Türkcell
yaa	ya
Soktugumunun	Soktuğumun
bide	bir
ahahahhahaha	ahah
izleyemiyeyim	izleyemeyeyim
yha	ya
bildign	bildiğin
gibi	gündür
süpriz	sürpriz
süprizi	sürprizi
yaw	yahu
panpalarım	pampalarım
aninda	aıinda
Turkcel	Turkcell
kapıyada	kapıya
sadace	sadece
kapıyada	kapıya
bee	be
olaağı	olacağı
asdgfadjdgad	asdg
brava	bravo
hakket	hakikaten
yoluklyum	yolayım
yokk	yok
Olsunn	Olsun
all	al
atamın	atanın
issetmezsin	hissetmezsin
ble	böyle
yetmio	yetmiyor
ölmiim	ölmeyeyim
muhattap	muhatap
vın	Vınn
türksel	Turkcell
arakadaş	arkadaş
çalışmıo	çalışmıyor
gelio	geliyor
böle	böyle
yhaa	ya
nede	ne
Kapımada	Kapıma
sikiceni	sikeceğini
afetmem	affetmem
gönderiyim	göndereyim
yapicim	yapacağım
dikkate	kimliğin
magazinda	magazinde
senii	seni
on	numarayı
sikiyim	sikeyim
aldıı	aldı
anca	ancak
kapıyada	kapıya
sevindiriliy	sevindiriliyor
Turkcel	Turkcell
Alkışş	Alkış
doğun	doğum
yaa	ya
ulassiin	ulaşsın
brakmıo	bırakmıyor
actm	açtım
knustu	konuştu
ucretti	ücreti
turkcel	Turkcell
sevením	sevenim
bíle	bile
biliyim	bileyim
turkcel	Turkcell
hayin	hain
farkında	mesajını
ttnet	TTNet
yaa	ya
inanmıyoruum	inanmıyorum
trkcll	Turkcell
whatsapp	WhatsApp
whatsapp	WhatsApp
kullanmıyolarsa	kullanmıyorlarsa
turkcel	Turkcell
derimm	derim
alıyım	alayım
Türksel	Turkcell
miş	imiş
kapıyada	kapıya
Turkcel	Turkcell
kontor	kontür
turkcel	Turkcell
türksel	Turkcell
eyiydi	iyiydi
konuşalımm	konuşalım
sewiyorumm	seviyorum
bu	çare
inşaAllah	inşallah
Turkcel	Turkcell
stayla	stayle
tivitir	Twitter
ya	yapacağız
türksell	Turkcell
Gıccık	Gıcık
mi	Turkcell
seviyim	seveyim
turkcel	Turkcell
maj	mesaj
evlenmiştikk	evlenmiştik
tllerimin	TLlerimin
türksel	Türkcell
benii	beni
tanıır	tanır
biss	bis
